Ammo,fRange,fSE,fTOF,fTerVel,fDrift,fTurns,fReserved1,fReserved2,fTerAngle,fDragFormFactor
M230LF_M788TP_ATK,0,0,0,840,0,0,0,0,0,0.997
M230LF_M788TP_ATK,100,0.74,0.123,785,0.03,0,0,0,-0.8,0.997
M230LF_M788TP_ATK,200,1.55,0.255,731.2,0.06,0,0,0,-1.7,0.997
M230LF_M788TP_ATK,300,2.44,0.397,678.6,0.1,0,0,0,-2.8,0.997
M230LF_M788TP_ATK,400,3.43,0.55,627.6,0.14,0,0,0,-4.2,0.997
M230LF_M788TP_ATK,500,4.54,0.716,578.5,0.18,0,0,0,-5.8,0.997
M230LF_M788TP_ATK,600,5.77,0.897,531.4,0.23,0,0,0,-7.8,0.997
M230LF_M788TP_ATK,700,7.15,1.093,486.6,0.29,0,0,0,-10.3,0.997
M230LF_M788TP_ATK,800,8.72,1.309,444.1,0.35,0,0,0,-13.4,0.997
M230LF_M788TP_ATK,900,10.5,1.544,404.3,0.43,0,0,0,-17.1,0.997
M230LF_M788TP_ATK,1000,12.54,1.803,367.8,0.51,0,0,0,-21.8,0.997
M230LF_M788TP_ATK,1100,14.89,2.09,335.5,0.61,0,0,0,-27.6,0.997
M230LF_M788TP_ATK,1200,17.57,2.399,312.8,0.73,0,0,0,-34.4,0.997
M230LF_M788TP_ATK,1300,20.62,2.727,297.3,0.87,0,0,0,-42,0.997
M230LF_M788TP_ATK,1400,24.04,3.072,283.5,1.04,0,0,0,-50.4,0.997
M230LF_M788TP_ATK,1500,27.83,3.434,270.5,1.23,0,0,0,-59.6,0.997
M230LF_M788TP_ATK,1600,32,3.813,258.1,1.45,0,0,0,-69.7,0.997
M230LF_M788TP_ATK,1700,36.55,4.211,246.3,1.7,0,0,0,-80.8,0.997
M230LF_M788TP_ATK,1800,41.51,4.627,234.8,1.99,0,0,0,-93,0.997
M230LF_M788TP_ATK,1900,46.93,5.067,223.8,2.31,0,0,0,-106.5,0.997
M230LF_M788TP_ATK,2000,52.78,5.528,213.2,2.67,0,0,0,-121.5,0.997
M230LF_M788TP_ATK,2100,59.18,6.015,203,3.07,0,0,0,-138.2,0.997
M230LF_M788TP_ATK,2200,66.06,6.525,193.6,3.52,0,0,0,-156.6,0.997
M230LF_M788TP_ATK,2300,73.54,7.062,184.9,4.03,0,0,0,-177,0.997
M230LF_M788TP_ATK,2400,81.65,7.626,176.9,4.6,0,0,0,-199.5,0.997
M230LF_M788TP_ATK,2500,90.43,8.218,169.5,5.24,0,0,0,-224.1,0.997
M230LF_M789HEDP_ATK,0,0,0,849.9,0,0,0,0,0,0.997
M230LF_M789HEDP_ATK,100,0.73,0.122,789.3,0.03,0,0,0,-0.8,0.997
M230LF_M789HEDP_ATK,200,1.53,0.254,730.1,0.06,0,0,0,-1.7,0.997
M230LF_M789HEDP_ATK,300,2.42,0.396,672.7,0.09,0,0,0,-2.8,0.997
M230LF_M789HEDP_ATK,400,3.42,0.552,617.6,0.13,0,0,0,-4.2,0.997
M230LF_M789HEDP_ATK,500,4.55,0.721,565.1,0.17,0,0,0,-6,0.997
M230LF_M789HEDP_ATK,600,5.82,0.906,515.4,0.22,0,0,0,-8.1,0.997
M230LF_M789HEDP_ATK,700,7.26,1.11,468.9,0.27,0,0,0,-10.8,0.997
M230LF_M789HEDP_ATK,800,8.92,1.334,425.6,0.34,0,0,0,-14.2,0.997
M230LF_M789HEDP_ATK,900,10.81,1.58,386,0.41,0,0,0,-18.3,0.997
M230LF_M789HEDP_ATK,1000,13.01,1.852,350.5,0.5,0,0,0,-23.5,0.997
M230LF_M789HEDP_ATK,1100,15.54,2.15,324.8,0.61,0,0,0,-29.8,0.997
M230LF_M789HEDP_ATK,1200,18.43,2.467,306.7,0.74,0,0,0,-36.9,0.997
M230LF_M789HEDP_ATK,1300,21.69,2.802,291,0.89,0,0,0,-44.8,0.997
M230LF_M789HEDP_ATK,1400,25.32,3.155,276.1,1.06,0,0,0,-53.5,0.997
M230LF_M789HEDP_ATK,1500,29.34,3.528,261.9,1.26,0,0,0,-63.2,0.997
M230LF_M789HEDP_ATK,1600,33.77,3.921,248.2,1.49,0,0,0,-74.1,0.997
M230LF_M789HEDP_ATK,1700,38.63,4.336,235.2,1.76,0,0,0,-86.3,0.997
M230LF_M789HEDP_ATK,1800,43.95,4.774,223,2.06,0,0,0,-99.9,0.997
M230LF_M789HEDP_ATK,1900,49.8,5.24,211.3,2.4,0,0,0,-115.3,0.997
M230LF_M789HEDP_ATK,2000,56.17,5.73,200.4,2.79,0,0,0,-132.4,0.997
M230LF_M789HEDP_ATK,2100,63.12,6.247,190.2,3.24,0,0,0,-151.5,0.997
M230LF_M789HEDP_ATK,2200,70.72,6.794,180.6,3.74,0,0,0,-172.9,0.997
M230LF_M789HEDP_ATK,2300,79.07,7.376,171.6,4.32,0,0,0,-196.9,0.997
M230LF_M789HEDP_ATK,2400,88.16,7.989,163.2,4.97,0,0,0,-223.6,0.997
M230LF_M789HEDP_ATK,2500,98.1,8.638,155.5,5.71,0,0,0,-253.2,0.997
M240B_M62,0,0,0,829,0,0,0,0,0,0.907
M240B_M62,100,0.77,0.13,766,0,0,0,0,-1,0.904
M240B_M62,200,1.62,0.26,705,0,0,0,0,-2,0.901
M240B_M62,300,2.58,0.41,645,0.1,0,0,0,-3,0.897
M240B_M62,400,3.65,0.57,589,0.1,0,0,0,-5,0.894
M240B_M62,500,4.88,0.75,536,0.1,0,0,0,-7,0.89
M240B_M62,600,6.28,0.95,487,0.2,0,0,0,-9,0.887
M240B_M62,700,7.88,1.16,441,0.2,0,0,0,-12,0.884
M240B_M62,800,9.72,1.4,399,0.3,0,0,0,-16,0.881
M240B_M62,900,11.86,1.66,360,0.4,0,0,0,-21,0.878
M240B_M62,1000,14.33,1.96,329,0.4,0,0,0,-27,0.875
M240B_M62,1100,17.2,2.27,302,0.5,0,0,0,-34,0.873
M240B_M62,1200,20.5,2.62,275,0.7,0,0,0,-42,0.873
M240B_M62,1300,24.32,3,250,0.8,0,0,0,-53,0.877
M240B_M62,1400,28.73,3.42,226,0.9,0,0,0,-66,0.887
M240B_M62,1500,33.87,3.89,206,1.1,0,0,0,-83,0.903
M240B_M62,1600,39.85,4.4,187,1.4,0,0,0,-103,0.926
M240B_M62,1700,46.83,4.97,170,1.6,0,0,0,-127,0.954
M240B_M62,1800,54.99,5.59,155,1.9,0,0,0,-157,0.989
M240B_M62,1900,64.55,6.28,141,2.3,0,0,0,-194,1.029
M240B_M62,2000,75.77,7.04,129,2.8,0,0,0,-238,1.073
M240B_M80,0,0,0,858,0,0,0,0,0,1.124
M240B_M80,100,0.72,0.12,783,0,0,0,0,-1,1.127
M240B_M80,200,1.54,0.26,710,0,0,0,0,-2,1.131
M240B_M80,300,2.48,0.4,641,0.1,0,0,0,-3,1.134
M240B_M80,400,3.55,0.57,575,0.1,0,0,0,-5,1.138
M240B_M80,500,4.81,0.75,512,0.1,0,0,0,-7,1.141
M240B_M80,600,6.28,0.96,452,0.2,0,0,0,-10,1.145
M240B_M80,700,8.04,1.2,395,0.2,0,0,0,-13,1.148
M240B_M80,800,10.16,1.47,343,0.3,0,0,0,-19,1.152
M240B_M80,900,12.74,1.78,312,0.3,0,0,0,-26,1.155
M240B_M80,1000,15.83,2.11,295,0.4,0,0,0,-33,1.158
M240B_M80,1100,19.4,2.45,281,0.5,0,0,0,-42,1.161
M240B_M80,1200,23.43,2.82,269,0.7,0,0,0,-51,1.165
M240B_M80,1300,27.9,3.2,257,0.8,0,0,0,-61,1.167
M240B_M80,1400,32.81,3.6,246,1,0,0,0,-72,1.17
M240B_M80,1500,38.17,4.01,235,1.1,0,0,0,-84,1.173
M240B_M80,1600,44.01,4.45,224,1.3,0,0,0,-97,1.176
M240B_M80,1700,50.34,4.91,214,1.5,0,0,0,-111,1.179
M240B_M80,1800,57.2,5.4,204,1.7,0,0,0,-128,1.183
M240B_M80,1900,64.63,5.9,194,2,0,0,0,-146,1.186
M240B_M80,2000,72.69,6.44,184,2.2,0,0,0,-166,1.191
